district,village,office,agree,disagree
三民區,寶獅里,940,681,15
三民區,寶德里,941,709,16
三民區,寶德里,942,655,9
三民區,寶德里,943,750,13
三民區,寶泰里,944,763,20
三民區,寶泰里,945,797,13
三民區,寶興里,946,677,14
三民區,寶興里,947,699,14
三民區,寶興里,948,653,16
三民區,寶興里,949,681,24
三民區,寶中里,950,672,23
三民區,寶中里,951,606,23
三民區,寶華里,952,543,12
三民區,寶華里,953,611,14
三民區,寶國里,954,573,9
三民區,寶國里,955,600,7
三民區,寶國里,956,614,21
三民區,寶國里,957,632,12
三民區,寶國里,958,642,15
三民區,寶民里,959,670,9
三民區,寶民里,960,580,16
三民區,寶慶里,961,512,11
三民區,寶慶里,962,549,9
三民區,寶業里,963,798,10
三民區,寶業里,964,778,15
三民區,寶業里,965,718,19
三民區,寶盛里,966,705,14
三民區,寶盛里,967,585,7
三民區,寶盛里,968,703,22
三民區,寶安里,969,728,20
三民區,寶安里,970,727,18
三民區,寶安里,971,579,12
三民區,寶安里,972,597,11
三民區,寶龍里,973,676,23
三民區,寶龍里,974,620,24
三民區,寶龍里,975,524,9
三民區,寶珠里,976,692,19
三民區,寶珠里,977,767,18
三民區,寶珠里,978,725,15
三民區,寶玉里,979,723,22
三民區,寶玉里,980,622,17
三民區,寶玉里,981,569,14
三民區,寶玉里,982,678,21
三民區,寶玉里,983,635,19
三民區,灣子里,984,780,12
三民區,灣子里,985,702,16
三民區,灣愛里,986,565,21
三民區,灣愛里,987,645,14
三民區,灣中里,988,650,13
三民區,灣中里,989,768,15
三民區,灣中里,990,727,12
三民區,灣華里,991,485,8
三民區,灣華里,992,553,14
三民區,灣勝里,993,389,12
三民區,灣勝里,994,456,11
三民區,灣利里,995,743,14
三民區,灣利里,996,747,10
三民區,灣復里,997,727,22
三民區,灣復里,998,662,18
三民區,正興里,999,719,11
三民區,正興里,1000,780,12
三民區,正興里,1001,819,26
三民區,正興里,1002,720,12
三民區,正興里,1003,731,13
三民區,正興里,1004,735,11
三民區,正順里,1005,829,14
三民區,正順里,1006,845,25
三民區,灣興里,1007,819,16
三民區,灣成里,1008,508,12
三民區,灣成里,1009,423,10
三民區,安康里,1010,552,6
三民區,安康里,1011,502,5
三民區,安寧里,1012,400,19
三民區,安寧里,1013,385,12
三民區,安吉里,1014,471,11
三民區,安吉里,1015,599,8
三民區,安吉里,1016,663,10
三民區,安發里,1017,573,6
三民區,安發里,1018,597,13
三民區,安發里,1019,644,15
三民區,安東里,1020,676,15
三民區,安東里,1021,628,21
三民區,安和里,1022,509,13
三民區,安和里,1023,623,20
三民區,達德里,1024,622,15
三民區,達明里,1025,635,17
三民區,達仁里,1026,628,14
三民區,達勇里,1027,389,14
三民區,同德里,1028,660,21
三民區,同德里,1029,555,14
三民區,德智里,1030,444,18
三民區,德智里,1031,476,11
三民區,德仁里,1032,827,33
三民區,安生里,1033,681,22
三民區,德東里,1034,383,5
三民區,德行里,1035,539,23
三民區,精華里,1036,649,23
三民區,民享里,1037,458,13
三民區,民享里,1038,473,13
三民區,安宜里,1039,742,24
三民區,安宜里,1040,680,17
三民區,安泰里,1041,502,14
三民區,安泰里,1042,618,16
三民區,安泰里,1043,493,12
三民區,安邦里,1044,564,22
三民區,安邦里,1045,582,13
三民區,安邦里,1046,510,15
三民區,十全里,1047,823,24
三民區,十美里,1048,796,21
三民區,德北里,1049,431,10
三民區,德北里,1050,378,9
三民區,立誠里,1051,342,6
三民區,立業里,1052,440,13
三民區,港東里,1053,595,26
三民區,港新里,1054,566,9
三民區,港西里,1055,304,10
三民區,博愛里,1056,441,13
三民區,博惠里,1057,529,14
三民區,博惠里,1058,585,14
三民區,博惠里,1059,589,17
三民區,長明里,1060,356,9
三民區,建東里,1061,388,11
三民區,興德里,1062,726,21
三民區,鳳南里,1063,409,14
三民區,鳳北里,1064,677,18
三民區,德西里,1065,358,10
三民區,豐裕里,1066,528,18
三民區,豐裕里,1067,499,20
三民區,川東里,1068,508,14
三民區,裕民里,1069,507,17
三民區,力行里,1070,457,8
三民區,千歲里,1071,505,11
三民區,立德里,1072,498,11
三民區,千北里,1073,461,13
三民區,千秋里,1074,416,4
三民區,千秋里,1075,456,10
前金區,三川里,1076,336,1
前金區,草江里,1077,379,12
前金區,長城里,1078,556,20
前金區,北金里,1079,336,16
前金區,東金里,1080,406,9
前金區,新生里,1081,642,21
前金區,新生里,1082,670,18
前金區,後金里,1083,268,5
前金區,長興里,1084,465,14
前金區,青山里,1085,723,17
前金區,民生里,1086,300,16
前金區,復元里,1087,370,9
前金區,林投里,1088,359,12
前金區,國民里,1089,356,3
前金區,社東里,1090,272,4
前金區,社東里,1091,288,6
前金區,社西里,1092,397,12
前金區,博孝里,1093,415,5
前金區,長生里,1094,628,18
前金區,榮復里,1095,437,9
前金區,文西里,1096,412,9
前金區,文東里,1097,422,16
新興區,浩然里,1098,269,8
新興區,浩然里,1099,358,11
新興區,振成里,1100,408,11
新興區,德生里,1101,583,10
新興區,德生里,1102,549,8
新興區,振華里,1103,368,17
新興區,正氣里,1104,511,13
新興區,德政里,1105,243,7
新興區,仁聲里,1106,367,9
新興區,德望里,1107,336,5
新興區,德望里,1108,365,8
新興區,華聲里,1109,399,2
新興區,蕉園里,1110,315,10
